ASX listed companies as at Tue Oct 20 14:26:38 EST 2015

Company name,ASX code,GICS industry group
"ADCORP AUSTRALIA LIMITED",AAU,"Media"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"ADELAIDE RESOURCES LIMITED",ADN,"Materials"
"ADG GLOBAL SUPPLY LIMITED.",ADQ,"Capital Goods"
"ADHERIUM LIMITED",ADR,"Health Care Equipment & Services"
"ADITYA BIRLA MINERALS LIMITED",ABY,"Materials"
"ADMEDUS LTD",AHZ,"Health Care Equipment & Services"
"ADMIRALTY RESOURCES NL.",ADY,"Materials"
"ADSLOT LTD",ADJ,"Software & Services"
"ADVANCED BRAKING TECHNOLOGY LTD",ABV,"Automobiles & Components"
"ADVANCED ENERGY SYSTEMS LIMITED",AES,"Real Estate"
"ADVANCED ENGINE COMPONENTS LIMITED",ACE,"Automobiles & Components"
"ADVANCED SHARE REGISTRY LIMITED",ASW,"Diversified Financials"
"ADX ENERGY LTD",ADX,"Energy"
"AED OIL LIMITED",AED,"Energy"
"AEERIS LTD",AER,"Consumer Services"
"AEON METALS LIMITED",AQR,"Materials"
"AERIS ENVIRONMENTAL LTD",AEI,"Commercial Services & Supplies"
"AFFINITY EDUCATION GROUP LIMITED",AFJ,"Consumer Services"
"AFRICAN ENERGY RESOURCES LIMITED",AFR,"Energy"
"AFT CORPORATION LIMITED",AFT,"Capital Goods"
"AG FINANCIAL LTD",AHA,"Diversified Financials"
"AGENIX LIMITED",AGX,"Pharmaceuticals & Biotechnology"
"AGL ENERGY LIMITED.",AGL,"Utilities"
"AGRI - TRADE HOLDINGS LIMITED",AGH,"Real Estate"
"AGRICULTURAL LAND TRUST",AGJ,"Real Estate"
"AGRIMIN LIMITED",AMN,"Materials"
"AGUIA RESOURCES LIMITED",AGR,"Materials"
"AHALIFE HOLDINGS LIMITED",AHL,"Retailing"
"AIMS PROPERTY SECURITIES FUND",APW,"Real Estate"
"AINSWORTH GAME TECHNOLOGY LIMITED",AGI,"Consumer Services"
"AIR CHANGE INTERNATIONAL LIMITED",AHJ,"Capital Goods"
"AIR NEW ZEALAND LIMITED",AIZ,"Transportation"
"AIRXPANDERS, INC.",AXP,"Health Care Equipment & Services"
"AJ LUCAS GROUP LIMITED",AJL,"Capital Goods"
"ALACER GOLD CORP.",AQG,"Materials"
"ALARA RESOURCES LIMITED",AUQ,"Materials"
"ALCHEMIA LIMITED",ACL,"Pharmaceuticals & Biotechnology"
"ALCHEMY RESOURCES LIMITED",ALY,"Materials"
"ALCOA INC.",AAI,"Materials"
"ALE PROPERTY GROUP",LEP,"Real Estate"
"ALEATOR ENERGY LIMITED",AWD,"Energy"
"ALEXIUM INTERNATIONAL GROUP LIMITED",AJX,"Materials"
"ALGAE.TEC LIMITED",AEB,"Energy"
"ALICANTO MINERALS LIMITED",AQI,"Materials"
"ALKANE RESOURCES LIMITED",ALK,"Materials"
"ALLEGIANCE COAL LIMITED",AHQ,"Energy"
"ALLEGRA ORTHOPAEDICS LIMITED",AMT,"Health Care Equipment & Services"
"ALLIANCE AVIATION SERVICES LIMITED",AQZ,"Transportation"
"ALLIANCE RESOURCES LIMITED",AGS,"Materials"
"ALLIGATOR ENERGY LIMITED",AGE,"Energy"
"ALLOY RESOURCES LIMITED",AYR,"Materials"
"ALS LIMITED",ALQ,"Commercial Services & Supplies"
"ALT RESOURCES LIMITED",ARS,"Class Pend"
"ALTECH CHEMICALS LTD",ATC,"Materials"
"ALTERNATIVE INVESTMENT TRUST",AIQ,"Not Applic"
"ALTIUM LIMITED",ALU,"Software & Services"
"ALTONA MINING LIMITED",AOH,"Materials"
"ALTURA MINING LIMITED",AJM,"Materials"
"ALUMINA LIMITED",AWC,"Materials"
"AMA GROUP LIMITED",AMA,"Retailing"
"AMALGAMATED HOLDINGS LIMITED",AHD,"Media"
"AMAYSIM AUSTRALIA LIMITED",AYS,"Telecommunication Services"
"AMBERTECH LIMITED",AMO,"Technology Hardware & Equipment"
"AMBITION GROUP LIMITED",AMB,"Commercial Services & Supplies"
"AMCIL LIMITED",AMH,"Diversified Financials"
"AMCOR LIMITED",AMC,"Materials"
"AMERICAN PATRIOT OIL & GAS LIMITED",AOW,"Energy"
"AMEX RESOURCES LIMITED",AXZ,"Materials"
"AMP CAPITAL CHINA GROWTH FUND",AGF,"Diversified Financials"
"AMP LIMITED",AMP,"Insurance"
"ANAECO LIMITED",ANQ,"Commercial Services & Supplies"
"ANALYTICA LIMITED",ALT,"Health Care Equipment & Services"
"ANATARA LIFESCIENCES LTD",ANR,"Pharmaceuticals & Biotechnology"
"ANATOLIA ENERGY LIMITED",AEK,"Energy"
"ANCHOR RESOURCES LIMITED",AHR,"Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)",ATM,"Materials"
"ANGLO AMERICAN CAPITAL PLC",AQM,"Not Applic"
"ANGLO AUSTRALIAN RESOURCES NL",AAR,"Materials"
"ANGLOGOLD ASHANTI LIMITED",AGG,"Materials"
"ANIMOCA BRANDS CORPORATION LIMITED",AB1,"Software & Services"
"ANOVA METALS LIMITED",AWV,"Materials"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"ANTARES ENERGY LIMITED",AZZ,"Energy"
"ANTARES MINING LIMITED",AWW,"Materials"
"ANTARIA LIMITED",ANO,"Materials"
"ANTEO DIAGNOSTICS LIMITED",ADO,"Pharmaceuticals & Biotechnology"
"ANTILLES OIL AND GAS NL",AVD,"Energy"
"ANTIPA MINERALS LIMITED",AZY,"Materials"
"ANTISENSE THERAPEUTICS LIMITED",ANP,"Pharmaceuticals & Biotechnology"
"AP EAGERS LIMITED",APE,"Retailing"
"APA GROUP",APA,"Utilities"
"APAC COAL LIMITED",AAL,"Energy"
"APHRODITE GOLD LIMITED",AQQ,"Materials"
"APN NEWS & MEDIA LIMITED",APN,"Media"
"APN OUTDOOR GROUP LIMITED",APO,"Media"
"APN PROPERTY GROUP LIMITED",APD,"Diversified Financials"
"APOLLO CONSOLIDATED LIMITED",AOP,"Materials"
"APOLLO MINERALS LIMITED",AON,"Materials"
"APOLLO SERIES 2007-1E TRUST",AOY,"Not Applic"
"APOLLO SERIES 2010-1 TRUST",AOJ,"Not Applic"
"APOLLO SERIES 2013-1 TRUST",AOR,"Not Applic"
"APPEN LIMITED",APX,"Software & Services"
"APPLABS TECHNOLOGIES LTD",ALA,"Software & Services"
"APT PIPELINES LIMITED.",AQH,"Not Applic"
"AQUAINT CAPITAL HOLDINGS LIMITED",AQU,"Consumer Services"
"AQUARIUS PLATINUM LIMITED",AQP,"Materials"
"AQUIS ENTERTAINMENT LIMITED",AQS,"Consumer Services"
"ARAFURA RESOURCES LIMITED",ARU,"Materials"
"ARB CORPORATION LIMITED.",ARB,"Automobiles & Components"
"ARC EXPLORATION LIMITED",ARX,"Materials"
"ARCHER EXPLORATION LIMITED",AXE,"Materials"
"ARDENT LEISURE GROUP",AAD,"Consumer Services"
"ARDENT RESOURCES LTD",AWO,"Materials"
"ARDIDEN LTD",ADV,"Materials"
"ARENA REIT.",ARF,"Real Estate"
"ARGENT MINERALS LIMITED",ARD,"Materials"
"ARGO EXPLORATION LIMITED",AXT,"Materials"
"ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED",ALI,"Diversified Financials"
"ARGO INVESTMENTS LIMITED",ARG,"Not Applic"
"ARGONAUT RESOURCES NL",ARE,"Materials"
"ARGOSY MINERALS LIMITED",AGY,"Materials"
"ARIADNE AUSTRALIA LIMITED",ARA,"Commercial Services & Supplies"
"ARISTOCRAT LEISURE LIMITED",ALL,"Consumer Services"
"ARK MINES LIMITED",AHK,"Materials"
"ARMIDALE INVESTMENT CORPORATION LIMITED",AIK,"Not Applic"
"ARMOUR ENERGY LIMITED",AJQ,"Energy"
"AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED",AWQ,"Not Applic"
"AROWANA INTERNATIONAL LIMITED",AWN,"Commercial Services & Supplies"
"ARRIUM LIMITED",ARI,"Materials"
"ARROWHEAD RESOURCES LIMITED",AR1,"Materials"
"ARTEMIS RESOURCES LIMITED",ARV,"Materials"
"ARUMA RESOURCES LIMITED",AAJ,"Materials"
"ARUNTA RESOURCES LIMITED",AJR,"Materials"
"ASALEO CARE LIMITED",AHY,"Household & Personal Products"
"ASAPLUS RESOURCES LIMITED",AJY,"Materials"
"ASCIANO LIMITED",AIO,"Transportation"
"ASCOT RESOURCES LIMITED",AZQ,"Materials"
"ASF GROUP LIMITED",AFA,"Diversified Financials"
"ASG GROUP LIMITED",ASZ,"Software & Services"
"ASHLEY SERVICES GROUP LIMITED",ASH,"Commercial Services & Supplies"
"ASIA PACIFIC DATA CENTRE GROUP",AJD,"Real Estate"
"ASIA PACIFIC DIGITAL LIMITED",DIG,"Media"
"ASIAN AMERICAN MEDICAL GROUP LIMITED",AJJ,"Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK",ATB,"Not Applic"
"ASIAN MASTERS FUND LIMITED",AUF,"Diversified Financials"
"ASK FUNDING LIMITED",AKF,"Diversified Financials"
"ASPEN GROUP",APZ,"Real Estate"
"ASPERMONT LIMITED.",ASP,"Media"
"ASPIRE MINING LIMITED",AKM,"Materials"
"ASTIVITA LIMITED",AIR,"Capital Goods"
"ASTRO JAPAN PROPERTY GROUP",AJA,"Real Estate"
"ASTRO RESOURCES NL",ARO,"Materials"
"ASTRON CORPORATION LIMITED",ATR,"Materials"
"ASX LIMITED",ASX,"Diversified Financials"
"ATCOR MEDICAL HOLDINGS LIMITED",ACG,"Health Care Equipment & Services"
"ATHENA RESOURCES LIMITED",AHN,"Materials"
"ATHERTON RESOURCES LTD",ATE,"Materials"
"ATLANTIC LIMITED",ATI,"Materials"
"ATLAS IRON LIMITED",AGO,"Materials"
"ATLAS PEARLS AND PERFUMES LTD",ATP,"Consumer Durables & Apparel"
"ATRUM COAL NL",ATU,"Materials"
"ATTILA RESOURCES LIMITED",AYA,"Materials"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED",AIA,"Transportation"
"AUDALIA RESOURCES LIMITED",ACP,"Materials"
"AUDIO PIXELS HOLDINGS LIMITED",AKP,"Consumer Durables & Apparel"
"AUGUR RESOURCES LIMITED",AUK,"Materials"
"AURA ENERGY LIMITED",AEE,"Energy"
"AURELIA METALS LIMITED",AMI,"Materials"
"AURIZON HOLDINGS LIMITED",AZJ,"Transportation"
"AUROCH MINERALS NL",AOU,"Materials"
"AURORA ABSOLUTE RETURN FUND",ABW,"Not Applic"
"AURORA DIVIDEND INCOME TRUST (MANAGED FUND)",AOD,"Not Applic"
"AURORA GLOBAL INCOME TRUST",AIB,"Diversified Financials"
"AURORA MINERALS LIMITED",ARM,"Materials"
"AURORA PROPERTY BUY-WRITE INCOME TRUST",AUP,"Not Applic"
"AUS ASIA MINERALS LIMITED",AQJ,"Energy"
"AUS TIN MINING LTD",ANW,"Materials"
"AUSDRILL LIMITED",ASL,"Capital Goods"
"AUSENCO LIMITED",AAX,"Capital Goods"
"AUSGOLD LIMITED",AUC,"Materials"
"AUSMANI LIMITED",ABF,"Media"
"AUSMON RESOURCES LIMITED",AOA,"Materials"
"AUSNET SERVICES HOLDINGS PTY LTD",ANV,"Not Applic"
"AUSNET SERVICES LIMITED",AST,"Utilities"
"AUSQUEST LIMITED",AQD,"Materials"
"AUSROC METALS LTD",ARK,"Materials"
"AUSTAL LIMITED",ASB,"Capital Goods"
"AUSTBROKERS HOLDINGS LIMITED",AUB,"Insurance"
"AUSTEX OIL LIMITED",AOK,"Energy"
"AUSTIN ENGINEERING LIMITED",ANG,"Capital Goods"
"AUSTIN EXPLORATION LIMITED",AKK,"Energy"
"AUSTOCK GROUP LIMITED",ACK,"Insurance"
"AUSTPAC RESOURCES NL",APG,"Materials"
"AUSTRAL GOLD LIMITED",AGD,"Materials"
"AUSTRALASIAN RESOURCES LIMITED",ARH,"Materials"
"AUSTRALASIAN WEALTH INVESTMENTS LIMITED.",AWI,"Not Applic"
"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",ANZ,"Banks"
"AUSTRALIA CHINA HOLDINGS LIMITED",AAK,"Real Estate"
"AUSTRALIA NEW AGRIBUSINESS & CHEMICAL GROUP LTD",ANB,"Materials"
"AUSTRALIA UNITED MINING LIMITED",AYM,"Materials"
"AUSTRALIAN AGRICULTURAL COMPANY LIMITED.",AAC,"Food, Beverage & Tobacco"
"AUSTRALIAN AGRICULTURAL PROJECTS LIMITED",AAP,"Food & Staples Retailing"
"AUSTRALIAN BAUXITE LIMITED.",ABX,"Materials"
"AUSTRALIAN CAREERS NETWORK LIMITED",ACO,"Consumer Services"
"AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS",XCL,"Not Applic"
"AUSTRALIAN DAIRY FARMS GROUP",AHF,"Food, Beverage & Tobacco"
"AUSTRALIAN ENHANCED INCOME FUND",AYF,"Not Applic"
"AUSTRALIAN ETHICAL INVESTMENT LIMITED",AEF,"Diversified Financials"
"AUSTRALIAN FINANCE GROUP LTD",AFG,"Banks"
"AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED",AFI,"Not Applic"
"AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED",AQF,"Diversified Financials"
"AUSTRALIAN GOVERNMENT TREASURY BONDS",GSB,"Not Applic"
"AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS",GSI,"Not Applic"
"AUSTRALIAN INDUSTRIAL REIT",ANI,"Real Estate"
"AUSTRALIAN LEADERS FUND LIMITED",ALF,"Diversified Financials"
"AUSTRALIAN MASTERS CORPORATE BOND FUND NO 5 LIMITED",AKY,"Diversified Financials"
"AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED",AYD,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED",AYH,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED",AYJ,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED",AYK,"Not Applic"
"AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED",AYZ,"Not Applic"
"AUSTRALIAN MINES LIMITED",AUZ,"Materials"
"AUSTRALIAN NATURAL PROTEINS LIMITED",AYB,"Food, Beverage & Tobacco"
"AUSTRALIAN OIL COMPANY LIMITED",AOC,"Energy"
"AUSTRALIAN PACIFIC COAL LIMITED",AQC,"Materials"
"AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED",API,"Health Care Equipment & Services"
"AUSTRALIAN RENEWABLE FUELS LIMITED",ARW,"Energy"
"AUSTRALIAN RURAL CAPITAL LIMITED",ARC,"Diversified Financials"
"AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED",AUI,"Diversified Financials"
"AUSTRALIAN UNITY LIMITED",AYU,"Not Applic"
"AUSTRALIAN VINTAGE LTD",AVG,"Food, Beverage & Tobacco"
"AUSTRALIAN ZIRCON NL",AZC,"Materials"
"AUSWIDE BANK LTD",ABA,"Banks"
"AUTHORISED INVESTMENT FUND LIMITED",AIY,"Not Applic"
"AUTOMOTIVE HOLDINGS GROUP LIMITED.",AHG,"Retailing"
"AVALON MINERALS LIMITED",AVI,"Materials"
"AVANCO RESOURCES LIMITED",AVB,"Materials"
"AVENTUS RETAIL PROPERTY FUND",AVN,"Not Applic"
"AVEO GROUP",AOG,"Real Estate"
"AVEXA LIMITED",AVX,"Pharmaceuticals & Biotechnology"
"AVITA MEDICAL LTD",AVH,"Pharmaceuticals & Biotechnology"
"AVJENNINGS LIMITED",AVJ,"Real Estate"
"AVZ MINERALS LIMITED",AVZ,"Materials"
"AWE LIMITED",AWE,"Energy"
"AXA",AXJ,"Not Applic"
"AXIOM MINING LIMITED",AVQ,"Materials"
"AXIOM PROPERTIES LIMITED",AXI,"Real Estate"
"AXXIS TECHNOLOGY GROUP LTD",AYG,"Software & Services"
"AZONTO PETROLEUM LTD",APY,"Energy"
"AZUMAH RESOURCES LIMITED",AZM,"Materials"
"AZURE HEALTHCARE LIMITED",AZV,"Health Care Equipment & Services"
"AZURE MINERALS LIMITED",AZS,"Materials"
"BABY BUNTING GROUP LIMITED",BBN,"Retailing"
"BAILADOR TECHNOLOGY INVESTMENTS LIMITED",BTI,"Diversified Financials"
"BANDANNA ENERGY LIMITED",BND,"Energy"
"BANK OF CHINA LIMITED",BKC,"Not Applic"
"BANK OF QUEENSLAND LIMITED.",BOQ,"Banks"
"BANNERMAN RESOURCES LIMITED",BMN,"Energy"
"BARAKA ENERGY & RESOURCES LIMITED",BKP,"Energy"
"BARRA RESOURCES LIMITED",BAR,"Materials"
"BARRACK ST INVESTMENTS LIMITED",BST,"Not Applic"
"BASE RESOURCES LIMITED",BSE,"Materials"
"BASS METALS LTD",BSM,"Materials"
"BASS STRAIT OIL COMPANY LIMITED",BAS,"Energy"
"BASSARI RESOURCES LIMITED",BSR,"Materials"
"BATHURST RESOURCES LIMITED.",BRL,"Materials"
"BAUMART HOLDINGS LIMITED",BMH,"Capital Goods"
"BAUXITE RESOURCES LIMITED",BAU,"Materials"
"BBX MINERALS LIMITED",BBX,"Materials"
"BC IRON LIMITED",BCI,"Materials"
"BCD RESOURCES NL",BCD,"Materials"
"BEACH ENERGY LIMITED",BPT,"Energy"
"BEACON LIGHTING GROUP LIMITED",BLX,"Retailing"
"BEACON MINERALS LIMITED",BCN,"Materials"
"BEADELL RESOURCES LIMITED",BDR,"Materials"
"BEAUTY HEALTH GROUP LIMITED",BHG,"Software & Services"
"BEGA CHEESE LIMITED",BGA,"Food, Beverage & Tobacco"
"BELL FINANCIAL GROUP LIMITED",BFG,"Diversified Financials"
"BELLAMY'S AUSTRALIA LIMITED",BAL,"Food, Beverage & Tobacco"
"BENDIGO AND ADELAIDE BANK LIMITED",BEN,"Banks"
"BENITEC BIOPHARMA LIMITED",BLT,"Pharmaceuticals & Biotechnology"
"BENTLEY CAPITAL LIMITED",BEL,"Diversified Financials"
"BERKELEY ENERGY LIMITED",BKY,"Energy"
"BESTON GLOBAL FOOD COMPANY LIMITED",BFC,"Diversified Financials"
"BEYOND INTERNATIONAL LIMITED",BYI,"Media"
"BGD CORPORATION LTD",BGD,"Materials"
"BHP BILLITON LIMITED",BHP,"Materials"
"BIG UN LIMITED",BIG,"Software & Services"
"BIGAIR GROUP LIMITED",BGL,"Telecommunication Services"
"BILLABONG INTERNATIONAL LIMITED",BBG,"Consumer Durables & Apparel"
"BIONOMICS LIMITED",BNO,"Pharmaceuticals & Biotechnology"
"BIOTECH CAPITAL LIMITED",BTC,"Diversified Financials"
"BIOTRON LIMITED",BIT,"Pharmaceuticals & Biotechnology"
"BIOXYNE LIMITED",BXN,"Pharmaceuticals & Biotechnology"
"BIRCH AND PRESTIGE INVESTMENT GROUP LIMITED",BOP,"Retailing"
"BIRIMIAN GOLD LIMITED",BGS,"Materials"
"BIRON APPAREL LIMITED",BIC,"Retailing"
"BISALLOY STEEL GROUP LIMITED",BIS,"Materials"
"BISAN LIMITED",BSN,"Diversified Financials"
"BITCOIN GROUP LIMITED",BCG,"Class Pend"
"BKI INVESTMENT COMPANY LIMITED",BKI,"Diversified Financials"
"BKM MANAGEMENT LIMITED",BKM,"Commercial Services & Supplies"
"BLACK MOUNTAIN RESOURCES LIMITED",BMZ,"Materials"
"BLACK OAK MINERALS LIMITED",BOK,"Materials"
"BLACK RIDGE MINING NL",BRD,"Materials"
"BLACK ROCK MINING LIMITED",BKT,"Materials"
"BLACK STAR PETROLEUM LIMITED",BSP,"Energy"
"BLACKGOLD INTERNATIONAL HOLDINGS LIMITED",BGG,"Energy"
"BLACKHAM RESOURCES LIMITED",BLK,"Materials"
"BLACKMORES LIMITED",BKL,"Household & Personal Products"
"BLACKWALL PROPERTY FUNDS LIMITED",BWF,"Diversified Financials"
"BLACKWALL PROPERTY TRUST",BWR,"Real Estate"
"BLAZE INTERNATIONAL LIMITED",BLZ,"Energy"
"BLIGH RESOURCES LIMITED",BGH,"Materials"
"BLINA MINERALS NL",BDI,"Materials"
"BLUE ENERGY LIMITED",BUL,"Energy"
"BLUE SKY ALTERNATIVE INVESTMENTS LIMITED",BLA,"Diversified Financials"
"BLUE SKY ALTERNATIVES ACCESS FUND LIMITED",BAF,"Not Applic"
"BLUECHIIP LIMITED",BCT,"Technology Hardware & Equipment"
"BLUENERGY GROUP LIMITED",BEG,"Materials"
"BLUESCOPE STEEL LIMITED",BSL,"Materials"
"BLUGLASS LIMITED",BLG,"Semiconductors & Semiconductor Equipment"
"BMG RESOURCES LIMITED",BMG,"Materials"
"BOADICEA RESOURCES LIMITED",BOA,"Materials"
"BOART LONGYEAR LIMITED",BLY,"Capital Goods"
"BONE MEDICAL LIMITED",BNE,"Pharmaceuticals & Biotechnology"
"BOOM LOGISTICS LIMITED",BOL,"Capital Goods"
"BORA BORA RESOURCES LIMITED",BBR,"Materials"
"BORAL LIMITED.",BLD,"Materials"
"BOSS RESOURCES LIMITED",BOE,"Energy"
"BOTSWANA METALS LIMITED",BML,"Materials"
"BOUGAINVILLE COPPER LIMITED",BOC,"Materials"
"BOUNTY MINING LTD",BNT,"Energy"
"BOUNTY OIL & GAS NL",BUY,"Energy"
"BP CAPITAL MARKETS PLC",BPB,"Not Applic"
"BPH ENERGY LTD",BPH,"Pharmaceuticals & Biotechnology"
"BPS TECHNOLOGY LIMITED",BPS,"Software & Services"
"BRADKEN LIMITED",BKN,"Capital Goods"
"BRAIN RESOURCE LIMITED",BRC,"Health Care Equipment & Services"
"BRAINCHIP HOLDINGS LTD",BRN,"Materials"
"BRAMBLES LIMITED",BXB,"Commercial Services & Supplies"
"BRAND NEW VINTAGE LIMITED",BNV,"Food, Beverage & Tobacco"
"BRAZIRON LIMITED",BZL,"Materials"
"BREAKER RESOURCES NL",BRB,"Materials"
"BREVILLE GROUP LIMITED",BRG,"Retailing"
"BRICKWORKS LIMITED",BKW,"Materials"
"BRIDGE GLOBAL CAPITAL MANAGEMENT LIMITED",BGC,"Diversified Financials"
"BRIERTY LIMITED",BYL,"Capital Goods"
"BRIGHTON MINING GROUP LIMITED",BTN,"Materials"
"BRISBANE BRONCOS LIMITED",BBL,"Media"
"BRISCONNECTIONS UNIT TRUSTS",BCS,"Transportation"
"BROAD INVESTMENTS LIMITED",BRO,"Telecommunication Services"
"BROCKMAN MINING LIMITED",BCK,"Materials"
"BROKEN HILL PROSPECTING LIMITED",BPL,"Materials"
"BRONSON GROUP LIMITED",BGR,"Diversified Financials"
"BROOKFIELD PRIME PROPERTY FUND",BPA,"Real Estate"
"BROOKSIDE ENERGY LIMITED",BRK,"Energy"
"BSA LIMITED",BSA,"Commercial Services & Supplies"
"BT INVESTMENT MANAGEMENT LIMITED",BTT,"Diversified Financials"
"BUDERIM GINGER LIMITED",BUG,"Food, Beverage & Tobacco"
"BULLETIN RESOURCES LIMITED",BNR,"Materials"
"BULLETPROOF GROUP LIMITED",BPF,"Software & Services"
"BUNURU CORPORATION LIMITED",BUN,"Technology Hardware & Equipment"
"BUREY GOLD LIMITED",BYR,"Materials"
"BURLESON ENERGY LIMITED",BUR,"Energy"
"BURSON GROUP LIMITED",BAP,"Retailing"
"BURU ENERGY LIMITED",BRU,"Energy"
"BUXTON RESOURCES LIMITED",BUX,"Materials"
"BWP TRUST",BWP,"Real Estate"
"BYRON ENERGY LIMITED",BYE,"Energy"
"BYTE POWER GROUP LIMITED",BPG,"Retailing"
"CABCHARGE AUSTRALIA LIMITED",CAB,"Commercial Services & Supplies"
"CABRAL RESOURCES LIMITED",CBS,"Materials"
"CADENCE CAPITAL LIMITED",CDM,"Not Applic"
"CAENEUS MINERALS LTD",CAD,"Materials"
"CAISSE FRANCAISE DE FINANCEMENT LOCAL",DXA,"Not Applic"
"CALIBRE GROUP LIMITED",CGH,"Capital Goods"
"CALLABONNA RESOURCES LTD",CUU,"Energy"
"CALTEX AUSTRALIA LIMITED",CTX,"Energy"
"CANNINDAH RESOURCES LIMITED",CAE,"Materials"
"CANYON RESOURCES LIMITED",CAY,"Materials"
"CAPE LAMBERT RESOURCES LIMITED",CFE,"Materials"
"CAPE RANGE LIMITED",CAG,"Telecommunication Services"
"CAPILANO HONEY LIMITED",CZZ,"Food, Beverage & Tobacco"
"CAPITAL MINING LIMITED",CMY,"Materials"
"CAPITOL HEALTH LIMITED",CAJ,"Health Care Equipment & Services"
"CAPRAL LIMITED",CAA,"Materials"
"CAQ HOLDINGS LIMITED",CAQ,"Capital Goods"
"CARAVEL MINERALS LIMITED",CVV,"Materials"
"CARBINE RESOURCES LIMITED",CRB,"Materials"
"CARBINE TUNGSTEN LIMITED",CNQ,"Materials"
"CARBON CONSCIOUS LIMITED",CCF,"Commercial Services & Supplies"
"CARBON ENERGY LIMITED",CNX,"Energy"
"CARBON MINERALS LIMITED",CRM,"Energy"
"CARDINAL RESOURCES LIMITED",CDV,"Materials"
"CARDNO LIMITED",CDD,"Capital Goods"
"CARINDALE PROPERTY TRUST",CDP,"Real Estate"
"CARLTON INVESTMENTS LIMITED",CIN,"Diversified Financials"
"CARNARVON PETROLEUM LIMITED",CVN,"Energy"
"CARNAVALE RESOURCES LIMITED",CAV,"Materials"
"CARNEGIE WAVE ENERGY LIMITED",CWE,"Utilities"
"CARPENTARIA EXPLORATION LIMITED",CAP,"Materials"
"CARSALES.COM LIMITED.",CAR,"Software & Services"
"CASH CONVERTERS INTERNATIONAL",CCV,"Retailing"
"CASSINI RESOURCES LIMITED",CZI,"Materials"
"CASTILLO COPPER LIMITED",CCZ,"Materials"
"CASTLE MINERALS LIMITED",CDT,"Materials"
